group,income,weight
29歳以下,420.1,1.1877
29歳以下,385.7,1.2049
29歳以下,263.1,0.8221
29歳以下,262.9,0.9774
29歳以下,344.0,1.24
29歳以下,151.7,0.9438
29歳以下,162.9,1.1166
29歳以下,253.4,1.1662
29歳以下,353.6,1.0411
29歳以下,339.7,1.067
29歳以下,262.5,1.3683
29歳以下,189.4,1.2879
29歳以下,355.9,1.1621
29歳以下,454.6,1.1416
29歳以下,261.6,1.0469
29歳以下,292.4,1.0676
29歳以下,206.1,1.2416
29歳以下,199.2,0.9613
29歳以下,3407.0,1.1321
29歳以下,525.4,1.0197
29歳以下,305.3,1.0173
29歳以下,360.0,1.1738
29歳以下,245.6,1.172
29歳以下,360.0,1.2458
29歳以下,563.0,1.0532
29歳以下,149.0,1.1493
29歳以下,309.6,1.1523
29歳以下,279.0,0.966
29歳以下,1516.2,0.9257
29歳以下,459.5,1.2148
29歳以下,464.3,1.1719
29歳以下,447.1,1.1444
29歳以下,338.2,0.8643
29歳以下,334.9,0.7572
29歳以下,300.3,1.0272
29歳以下,178.9,1.0921
29歳以下,238.7,0.9566
29歳以下,263.4,1.0188
29歳以下,279.9,1.1382
29歳以下,415.5,1.37
29歳以下,357.6,0.9616
29歳以下,160.6,1.1774
29歳以下,354.9,1.1036
29歳以下,1919.8,0.9461
29歳以下,242.6,1.1849
29歳以下,395.9,1.0961
29歳以下,469.0,0.976
30〜39歳,410.4,1.1047
30〜39歳,401.0,0.8464
30〜39歳,414.0,0.9323
30〜39歳,567.1,1.0293
30〜39歳,451.9,1.2257
30〜39歳,575.2,0.8262
30〜39歳,1946.8,0.8775
30〜39歳,461.0,0.9398
30〜39歳,580.8,1.078
30〜39歳,381.9,0.7361
30〜39歳,547.7,1.085
30〜39歳,510.4,1.0528
30〜39歳,414.6,1.0292
30〜39歳,1387.2,1.2216
30〜39歳,1176.7,0.8716
30〜39歳,709.6,0.8169
30〜39歳,429.2,0.917
30〜39歳,815.1,0.9945
30〜39歳,209.1,0.9711
30〜39歳,322.3,1.0422
30〜39歳,224.3,0.8498
30〜39歳,1381.5,1.1733
30〜39歳,496.0,0.9901
30〜39歳,627.1,0.9334
30〜39歳,995.2,1.1341
30〜39歳,564.6,1.0411
30〜39歳,412.4,0.9881
30〜39歳,352.2,0.9921
30〜39歳,548.9,1.0299
30〜39歳,901.7,1.0453
30〜39歳,607.4,1.0442
30〜39歳,448.9,1.0548
30〜39歳,326.4,0.9528
30〜39歳,513.1,1.0034
30〜39歳,674.8,1.1534
30〜39歳,244.1,1.0229
30〜39歳,618.3,1.0056
30〜39歳,372.6,0.8368
30〜39歳,625.4,1.0896
30〜39歳,357.2,1.0775
30〜39歳,230.6,1.2596
30〜39歳,248.4,0.9631
30〜39歳,1350.7,1.0263
30〜39歳,336.6,1.1893
30〜39歳,643.5,0.9886
30〜39歳,244.9,1.0335
30〜39歳,478.7,1.0729
30〜39歳,295.9,1.0224
30〜39歳,374.3,0.9464
30〜39歳,502.0,1.0233
30〜39歳,342.9,1.1288
30〜39歳,418.8,0.8768
30〜39歳,751.0,1.016
30〜39歳,386.3,0.916
30〜39歳,699.1,1.1434
30〜39歳,306.2,0.8172
30〜39歳,614.8,0.9329
30〜39歳,174.3,1.1879
30〜39歳,697.2,1.0684
30〜39歳,480.8,0.9663
30〜39歳,543.3,1.0771
30〜39歳,233.2,0.9703
30〜39歳,922.5,0.9182
30〜39歳,647.8,0.8798
30〜39歳,553.6,1.2157
30〜39歳,306.8,1.0769
30〜39歳,1374.7,0.9315
30〜39歳,519.6,1.0687
30〜39歳,515.3,1.1679
30〜39歳,667.5,1.111
30〜39歳,602.3,1.0072
30〜39歳,540.7,0.9224
30〜39歳,353.1,1.0838
30〜39歳,291.8,0.755
30〜39歳,599.9,1.0472
30〜39歳,866.0,1.0762
30〜39歳,961.0,1.1259
30〜39歳,397.1,0.9358
30〜39歳,324.8,1.1581
30〜39歳,466.8,1.0237
30〜39歳,503.8,1.249
30〜39歳,779.3,0.9173
30〜39歳,241.8,1.2083
30〜39歳,935.6,1.0237
30〜39歳,460.6,0.9218
30〜39歳,411.4,0.9419
30〜39歳,675.9,0.902
30〜39歳,1084.9,1.1074
30〜39歳,355.6,1.025
30〜39歳,1082.5,1.0032
30〜39歳,585.5,0.9735
30〜39歳,680.3,1.1595
30〜39歳,264.5,1.0236
30〜39歳,795.7,1.0851
30〜39歳,567.3,0.9892
30〜39歳,413.4,1.1728
30〜39歳,642.0,0.9188
30〜39歳,1277.3,1.2161
30〜39歳,531.2,0.9952
30〜39歳,546.2,0.8283
30〜39歳,405.8,1.0154
30〜39歳,344.4,0.9183
30〜39歳,697.5,1.1009
30〜39歳,343.5,0.9217
30〜39歳,507.2,0.9465
30〜39歳,402.7,0.7733
30〜39歳,601.8,0.9457
30〜39歳,566.2,0.7091
30〜39歳,760.9,0.8099
30〜39歳,397.3,1.0912
30〜39歳,439.4,1.0943
30〜39歳,326.3,1.0511
30〜39歳,408.4,0.884
30〜39歳,576.7,0.9943
30〜39歳,676.4,0.9996
30〜39歳,334.1,0.861
30〜39歳,709.1,1.1804
30〜39歳,869.7,1.1053
30〜39歳,194.4,1.0537
30〜39歳,386.3,1.1448
30〜39歳,347.2,1.1403
30〜39歳,445.2,0.9799
30〜39歳,874.5,0.8926
30〜39歳,328.2,0.9776
30〜39歳,656.5,0.9472
30〜39歳,767.6,1.1736
30〜39歳,235.1,1.0236
30〜39歳,299.4,1.1238
30〜39歳,209.0,0.8217
30〜39歳,439.5,1.032
30〜39歳,665.2,1.1068
30〜39歳,925.0,1.0099
30〜39歳,507.7,1.1279
30〜39歳,975.4,0.9379
30〜39歳,645.4,1.1507
30〜39歳,275.7,1.1691
30〜39歳,480.8,0.9565
30〜39歳,578.3,0.9465
30〜39歳,485.4,1.1744
30〜39歳,206.5,1.1895
30〜39歳,474.1,0.9373
30〜39歳,284.6,0.9496
30〜39歳,652.0,0.9662
30〜39歳,574.1,0.8387
30〜39歳,331.6,0.8898
30〜39歳,396.6,0.8795
30〜39歳,315.4,0.9079
30〜39歳,479.4,0.9958
30〜39歳,240.7,1.2759
30〜39歳,740.1,0.9426
30〜39歳,443.3,1.0267
30〜39歳,1028.7,0.9629
30〜39歳,336.2,1.0176
30〜39歳,807.7,0.9911
30〜39歳,404.1,1.0745
30〜39歳,239.7,1.0213
30〜39歳,869.1,0.8398
30〜39歳,469.0,1.0456
30〜39歳,827.7,1.0733
30〜39歳,251.9,1.0672
30〜39歳,382.6,1.1297
30〜39歳,493.2,1.1001
30〜39歳,502.0,1.0551
30〜39歳,407.4,0.9916
30〜39歳,639.3,0.8007
30〜39歳,314.3,1.0516
30〜39歳,463.6,1.0249
30〜39歳,517.7,1.0326
30〜39歳,1896.7,0.8468
30〜39歳,663.6,0.8703
30〜39歳,306.9,1.1264
30〜39歳,258.4,0.9953
30〜39歳,841.7,1.0818
30〜39歳,565.9,1.0034
30〜39歳,359.4,1.0036
30〜39歳,944.1,1.1126
30〜39歳,516.7,0.9381
30〜39歳,506.3,0.9445
30〜39歳,1169.5,0.9479
30〜39歳,735.1,1.0281
30〜39歳,325.3,1.1861
30〜39歳,807.6,1.0115
30〜39歳,393.9,1.1181
30〜39歳,270.8,1.2412
30〜39歳,375.1,0.9788
30〜39歳,312.5,0.9042
30〜39歳,999.6,0.8345
30〜39歳,712.7,0.9123
30〜39歳,490.5,0.996
30〜39歳,916.3,1.2153
30〜39歳,508.4,0.9379
30〜39歳,342.8,1.0269
30〜39歳,933.1,0.998
30〜39歳,617.2,1.1426
30〜39歳,318.3,1.3032
30〜39歳,358.2,1.079
30〜39歳,454.3,0.9363
30〜39歳,726.2,1.0818
30〜39歳,1097.5,1.2216
30〜39歳,2441.8,1.0701
30〜39歳,623.4,0.9569
30〜39歳,374.5,1.0709
30〜39歳,401.1,1.133
30〜39歳,383.7,1.0985
30〜39歳,342.4,1.0609
30〜39歳,502.3,1.128
30〜39歳,551.4,1.1659
30〜39歳,608.2,0.8802
30〜39歳,481.9,1.0778
30〜39歳,275.3,1.1253
30〜39歳,536.1,1.0401
30〜39歳,340.7,0.9413
30〜39歳,329.5,0.9535
30〜39歳,352.8,0.9743
30〜39歳,470.5,0.9941
30〜39歳,250.7,1.0343
30〜39歳,318.6,1.081
30〜39歳,390.0,0.8653
30〜39歳,297.6,1.0459
30〜39歳,1123.2,1.02
30〜39歳,499.5,1.0591
30〜39歳,538.4,1.2946
30〜39歳,469.5,0.9235
30〜39歳,448.5,0.9363
30〜39歳,637.0,0.9252
30〜39歳,676.5,0.9333
30〜39歳,366.8,1.0347
30〜39歳,1535.4,1.0244
30〜39歳,386.4,1.1427
30〜39歳,438.5,1.1705
30〜39歳,187.2,0.9315
30〜39歳,260.4,0.9001
30〜39歳,873.8,1.0566
30〜39歳,982.1,0.9337
30〜39歳,443.3,1.076
30〜39歳,787.6,1.2155
30〜39歳,560.9,0.8181
30〜39歳,1793.5,1.1857
30〜39歳,466.4,0.9265
30〜39歳,393.9,0.9235
40〜49歳,338.2,0.9192
40〜49歳,1441.7,1.1097
40〜49歳,682.9,0.9505
40〜49歳,468.7,0.8801
40〜49歳,463.3,0.9295
40〜49歳,363.8,0.9777
40〜49歳,475.3,0.7678
40〜49歳,827.7,0.8793
40〜49歳,656.9,1.1117
40〜49歳,659.4,1.094
40〜49歳,1207.5,1.0138
40〜49歳,682.0,1.1118
40〜49歳,529.1,0.9968
40〜49歳,973.1,1.0641
40〜49歳,466.8,0.9682
40〜49歳,562.9,1.0347
40〜49歳,657.8,0.9776
40〜49歳,472.9,0.9433
40〜49歳,498.9,1.0988
40〜49歳,714.6,0.9447
40〜49歳,1782.2,0.8621
40〜49歳,1004.4,1.0124
40〜49歳,602.5,0.8896
40〜49歳,607.3,1.0204
40〜49歳,1144.5,0.9561
40〜49歳,592.0,0.9368
40〜49歳,862.9,1.1321
40〜49歳,743.5,1.1017
40〜49歳,373.3,0.9478
40〜49歳,1729.5,1.1415
40〜49歳,439.0,0.8878
40〜49歳,733.0,0.9408
40〜49歳,779.9,1.0798
40〜49歳,831.3,0.9994
40〜49歳,954.7,1.1673
40〜49歳,789.5,1.038
40〜49歳,295.9,0.8954
40〜49歳,566.6,1.0285
40〜49歳,455.8,1.0653
40〜49歳,626.4,0.9868
40〜49歳,676.4,1.1081
40〜49歳,733.7,0.9353
40〜49歳,616.2,0.9156
40〜49歳,914.1,1.088
40〜49歳,835.6,1.0719
40〜49歳,1218.7,0.8362
40〜49歳,2850.0,0.9913
40〜49歳,1031.9,1.0948
40〜49歳,302.4,0.9374
40〜49歳,343.3,0.9335
40〜49歳,847.6,0.9132
40〜49歳,638.9,1.0126
40〜49歳,409.1,1.083
40〜49歳,700.3,0.9396
40〜49歳,309.8,1.239
40〜49歳,746.9,1.0987
40〜49歳,1442.5,1.0786
40〜49歳,349.0,0.9613
40〜49歳,676.7,1.0228
40〜49歳,413.0,0.8738
40〜49歳,388.1,0.9465
40〜49歳,830.3,1.0252
40〜49歳,410.3,1.1212
40〜49歳,993.8,0.9824
40〜49歳,408.9,0.8732
40〜49歳,313.0,1.1863
40〜49歳,983.6,1.0224
40〜49歳,1223.1,0.8845
40〜49歳,581.4,0.972
40〜49歳,619.0,1.0001
40〜49歳,2029.6,1.0775
40〜49歳,445.5,0.9541
40〜49歳,449.1,1.1511
40〜49歳,1001.1,1.075
40〜49歳,892.9,0.8732
40〜49歳,601.0,0.8746
40〜49歳,685.5,0.8184
40〜49歳,559.2,1.06
40〜49歳,349.5,0.9696
40〜49歳,704.2,0.9497
40〜49歳,2979.8,0.9451
40〜49歳,688.1,0.9577
40〜49歳,1126.4,1.1638
40〜49歳,557.4,1.0167
40〜49歳,390.1,1.0608
40〜49歳,853.2,0.9264
40〜49歳,772.6,0.9781
40〜49歳,1065.1,1.0886
40〜49歳,277.0,0.9631
40〜49歳,388.1,1.0962
40〜49歳,340.2,0.9048
40〜49歳,594.8,1.0753
40〜49歳,1017.5,0.9663
40〜49歳,474.1,1.1174
40〜49歳,747.5,1.0311
40〜49歳,2085.9,0.7969
40〜49歳,814.4,0.987
40〜49歳,564.1,0.9146
40〜49歳,616.0,0.7097
40〜49歳,669.4,1.0801
40〜49歳,948.1,0.999
40〜49歳,642.9,1.0301
40〜49歳,770.9,1.0038
40〜49歳,239.5,0.8873
40〜49歳,983.9,1.0478
40〜49歳,2112.1,1.0083
40〜49歳,1138.4,0.8865
40〜49歳,425.4,1.0539
40〜49歳,717.9,1.091
40〜49歳,452.4,1.0435
40〜49歳,654.9,1.0289
40〜49歳,367.2,1.0151
40〜49歳,478.2,0.998
40〜49歳,404.2,1.0314
40〜49歳,315.2,1.021
40〜49歳,493.3,0.9122
40〜49歳,541.5,1.1739
40〜49歳,1363.6,0.9926
40〜49歳,837.6,0.8454
40〜49歳,1605.0,1.0671
40〜49歳,1394.8,0.9325
40〜49歳,1370.3,1.0387
40〜49歳,587.1,0.88
40〜49歳,459.6,1.0415
40〜49歳,750.7,0.9559
40〜49歳,257.7,1.17
40〜49歳,612.5,0.954
40〜49歳,336.5,1.0313
40〜49歳,696.9,0.9365
40〜49歳,422.1,1.0509
40〜49歳,826.0,0.999
40〜49歳,667.6,1.0132
40〜49歳,946.0,1.0473
40〜49歳,833.5,0.9709
40〜49歳,466.1,1.0647
40〜49歳,781.8,0.7627
40〜49歳,1391.5,0.968
40〜49歳,369.6,1.0907
40〜49歳,1134.0,0.8825
40〜49歳,765.8,0.9667
40〜49歳,628.4,0.9265
40〜49歳,1849.4,1.0099
40〜49歳,774.7,0.8039
40〜49歳,555.2,0.962
40〜49歳,519.9,0.8841
40〜49歳,1099.7,0.9574
40〜49歳,355.4,1.0382
40〜49歳,385.2,1.1021
40〜49歳,545.7,1.1654
40〜49歳,289.6,0.8776
40〜49歳,756.1,0.9428
40〜49歳,1093.6,1.0431
40〜49歳,919.4,0.9678
40〜49歳,543.7,0.9717
40〜49歳,827.9,0.7933
40〜49歳,1105.7,0.9083
40〜49歳,637.2,0.9606
40〜49歳,473.4,0.8658
40〜49歳,173.9,1.1313
40〜49歳,500.5,1.1278
40〜49歳,630.9,1.0889
40〜49歳,667.9,1.1343
40〜49歳,1035.6,1.1572
40〜49歳,785.7,0.9772
40〜49歳,768.5,0.6928
40〜49歳,1675.9,0.863
40〜49歳,556.0,0.9267
40〜49歳,549.0,1.0314
40〜49歳,802.9,1.1685
40〜49歳,549.2,0.8205
40〜49歳,1285.8,0.9652
40〜49歳,529.5,1.0123
40〜49歳,315.1,0.8032
40〜49歳,513.7,0.9941
40〜49歳,1019.5,0.868
40〜49歳,357.3,0.9311
40〜49歳,953.3,0.9334
40〜49歳,719.6,1.1461
40〜49歳,726.8,0.9888
40〜49歳,773.4,1.0496
40〜49歳,299.2,0.8382
40〜49歳,572.7,1.0733
40〜49歳,402.7,1.0025
40〜49歳,854.9,0.94
40〜49歳,681.3,1.1527
40〜49歳,2132.3,0.9427
40〜49歳,868.3,0.8274
40〜49歳,788.0,1.0522
40〜49歳,2900.3,0.8913
40〜49歳,637.5,1.022
40〜49歳,204.2,1.2993
40〜49歳,820.0,1.0448
40〜49歳,783.6,0.9015
40〜49歳,556.4,0.9044
40〜49歳,1427.2,0.9363
40〜49歳,809.2,1.0755
40〜49歳,516.2,1.1063
40〜49歳,366.8,1.2358
40〜49歳,483.5,0.9347
40〜49歳,1216.4,0.963
40〜49歳,1271.6,0.9797
40〜49歳,312.2,0.8982
40〜49歳,870.3,0.9249
40〜49歳,968.0,1.0578
40〜49歳,1329.9,0.9248
40〜49歳,595.5,1.0393
40〜49歳,1058.9,1.1008
40〜49歳,522.0,1.1862
40〜49歳,1398.8,1.1806
40〜49歳,1043.6,1.1342
40〜49歳,714.8,0.9985
40〜49歳,328.7,0.9236
40〜49歳,633.4,1.0824
40〜49歳,572.3,0.9343
40〜49歳,495.2,0.9679
40〜49歳,623.8,1.0269
40〜49歳,562.2,0.879
40〜49歳,890.1,0.7437
40〜49歳,848.6,1.0704
40〜49歳,366.5,1.0237
40〜49歳,1114.3,0.6879
40〜49歳,1004.5,0.8728
40〜49歳,1213.9,1.0419
40〜49歳,576.2,0.9886
40〜49歳,1354.4,0.9433
40〜49歳,782.8,0.9976
40〜49歳,747.4,1.0493
40〜49歳,750.0,1.0229
40〜49歳,626.0,0.9862
40〜49歳,455.7,0.8784
40〜49歳,794.3,0.8972
40〜49歳,741.0,1.0949
40〜49歳,601.7,1.1857
40〜49歳,595.4,0.9072
40〜49歳,589.0,0.9198
40〜49歳,1012.7,0.9722
40〜49歳,1816.9,1.0683
40〜49歳,1025.9,0.9508
40〜49歳,1372.1,0.9548
40〜49歳,350.8,1.0123
40〜49歳,683.0,0.9821
40〜49歳,480.5,1.1425
40〜49歳,408.6,0.8847
40〜49歳,436.7,0.9317
40〜49歳,1342.5,0.9001
40〜49歳,332.4,0.9154
40〜49歳,389.4,1.1175
40〜49歳,649.3,0.9617
40〜49歳,1041.1,0.9923
40〜49歳,380.5,1.0001
40〜49歳,469.8,0.8237
40〜49歳,381.1,0.9065
40〜49歳,1366.7,0.899
40〜49歳,901.0,1.0102
40〜49歳,903.1,1.1027
40〜49歳,621.2,0.97
40〜49歳,668.5,0.9596
40〜49歳,257.1,0.8922
40〜49歳,982.7,0.8973
40〜49歳,756.1,0.9574
40〜49歳,1020.3,1.0167
40〜49歳,170.1,1.0714
40〜49歳,1684.9,0.8997
40〜49歳,604.6,1.1293
40〜49歳,1073.4,0.9529
40〜49歳,399.6,0.9779
40〜49歳,854.6,0.9053
40〜49歳,660.3,1.0566
40〜49歳,483.9,1.0684
40〜49歳,864.9,1.0965
40〜49歳,397.1,0.7376
40〜49歳,1113.0,0.8185
40〜49歳,1072.1,0.9764
40〜49歳,1045.3,1.0266
40〜49歳,707.2,0.8443
40〜49歳,627.8,1.0094
40〜49歳,1947.6,0.8546
40〜49歳,633.8,0.8802
40〜49歳,690.9,0.9271
40〜49歳,809.8,0.8237
40〜49歳,962.0,1.0316
40〜49歳,712.5,0.9867
40〜49歳,762.6,1.0594
40〜49歳,590.6,0.9519
40〜49歳,1555.0,1.0537
50〜59歳,581.2,1.0983
50〜59歳,836.3,0.816
50〜59歳,749.8,0.7451
50〜59歳,1253.1,0.8857
50〜59歳,908.7,1.134
50〜59歳,2818.2,0.7673
50〜59歳,326.1,1.0835
50〜59歳,674.3,0.7877
50〜59歳,559.4,0.8265
50〜59歳,922.5,0.999
50〜59歳,375.9,0.7369
50〜59歳,1972.6,0.9672
50〜59歳,813.0,0.8745
50〜59歳,819.5,0.9313
50〜59歳,587.9,1.0102
50〜59歳,984.4,0.9692
50〜59歳,866.9,1.0841
50〜59歳,701.7,1.1238
50〜59歳,1279.6,0.9068
50〜59歳,693.7,0.7909
50〜59歳,1233.9,0.9224
50〜59歳,1373.3,0.9812
50〜59歳,444.9,0.8343
50〜59歳,507.2,0.8351
50〜59歳,522.7,0.9913
50〜59歳,1456.1,0.9442
50〜59歳,234.7,0.9539
50〜59歳,1263.1,0.9057
50〜59歳,3642.5,0.859
50〜59歳,596.1,0.8842
50〜59歳,283.4,0.9004
50〜59歳,2273.5,0.8708
50〜59歳,191.1,1.0954
50〜59歳,587.8,1.1509
50〜59歳,800.2,0.8391
50〜59歳,622.8,0.9493
50〜59歳,1636.1,1.0302
50〜59歳,953.8,0.819
50〜59歳,611.0,0.9035
50〜59歳,1023.7,1.0335
50〜59歳,599.0,1.0519
50〜59歳,1311.4,0.9147
50〜59歳,863.5,0.9414
50〜59歳,673.8,0.7679
50〜59歳,899.3,0.9072
50〜59歳,314.8,1.0568
50〜59歳,396.6,1.019
50〜59歳,383.0,1.0101
50〜59歳,767.5,0.956
50〜59歳,1754.1,0.9508
50〜59歳,441.7,0.7861
50〜59歳,2095.0,1.032
50〜59歳,806.9,1.024
50〜59歳,407.9,1.0772
50〜59歳,1051.2,0.903
50〜59歳,254.6,1.0332
50〜59歳,614.0,0.9814
50〜59歳,557.4,0.8465
50〜59歳,515.9,1.0817
50〜59歳,473.0,0.6916
50〜59歳,537.3,0.8869
50〜59歳,279.3,1.009
50〜59歳,924.5,1.0005
50〜59歳,992.8,1.0339
50〜59歳,652.9,0.8925
50〜59歳,692.5,1.0568
50〜59歳,1243.0,0.9448
50〜59歳,934.3,0.7285
50〜59歳,1581.4,0.9425
50〜59歳,501.5,1.0849
50〜59歳,660.9,0.9099
50〜59歳,471.9,1.0178
50〜59歳,607.1,0.8276
50〜59歳,266.2,0.9472
50〜59歳,796.1,0.9291
50〜59歳,713.0,0.977
50〜59歳,465.9,0.9057
50〜59歳,1003.9,0.9342
50〜59歳,1160.2,1.0491
50〜59歳,308.9,0.8976
50〜59歳,479.2,0.7572
50〜59歳,477.6,1.16
50〜59歳,654.6,1.0186
50〜59歳,437.0,1.1158
50〜59歳,644.2,1.0328
50〜59歳,620.9,0.8896
50〜59歳,251.3,0.9816
50〜59歳,991.5,0.9853
50〜59歳,374.0,0.9219
50〜59歳,735.1,0.8559
50〜59歳,823.1,0.8671
50〜59歳,1445.7,0.8401
50〜59歳,360.8,0.8502
50〜59歳,148.2,0.9419
50〜59歳,784.0,0.8641
50〜59歳,1817.2,1.0318
50〜59歳,1357.0,1.1285
50〜59歳,680.5,1.0049
50〜59歳,1096.8,0.7949
50〜59歳,450.4,1.0117
50〜59歳,702.7,0.7663
50〜59歳,855.4,0.9225
50〜59歳,996.6,0.8385
50〜59歳,951.2,0.7704
50〜59歳,746.5,0.872
50〜59歳,643.0,0.94
50〜59歳,658.6,0.776
50〜59歳,643.8,0.8394
50〜59歳,1284.8,0.8295
50〜59歳,970.1,0.9749
50〜59歳,154.4,0.9583
50〜59歳,1002.1,0.8634
50〜59歳,788.4,0.9712
50〜59歳,705.6,0.8844
50〜59歳,582.2,0.9174
50〜59歳,1278.4,1.1508
50〜59歳,1166.2,1.1109
50〜59歳,476.7,0.7941
50〜59歳,1706.3,1.0496
50〜59歳,2085.9,1.0904
50〜59歳,1322.2,1.0757
50〜59歳,1054.7,0.7908
50〜59歳,1080.3,0.9969
50〜59歳,891.9,0.9909
50〜59歳,510.4,1.0162
50〜59歳,826.6,1.0742
50〜59歳,931.9,0.9826
50〜59歳,930.4,0.8399
50〜59歳,1169.6,0.8153
50〜59歳,1115.7,1.1346
50〜59歳,514.3,1.0483
50〜59歳,347.7,0.8122
50〜59歳,429.9,1.0474
50〜59歳,1038.8,1.0721
50〜59歳,673.0,1.0435
50〜59歳,1169.6,1.0024
50〜59歳,714.9,0.818
50〜59歳,655.6,0.907
50〜59歳,1010.2,0.8723
50〜59歳,796.0,1.0393
50〜59歳,481.9,0.9283
50〜59歳,603.6,0.8721
50〜59歳,471.0,1.1086
50〜59歳,1246.8,1.1204
50〜59歳,720.4,0.8779
50〜59歳,1914.9,0.726
50〜59歳,690.4,1.0709
50〜59歳,493.0,0.8678
50〜59歳,324.3,1.0449
50〜59歳,279.0,0.7136
50〜59歳,312.6,1.0571
50〜59歳,756.4,0.9204
50〜59歳,818.7,0.8047
50〜59歳,313.1,0.9517
50〜59歳,1134.8,0.8355
50〜59歳,554.2,0.9012
50〜59歳,769.0,1.0324
50〜59歳,1647.7,0.9627
50〜59歳,1135.9,1.0201
50〜59歳,619.6,1.1872
50〜59歳,448.3,0.7623
50〜59歳,232.7,1.1441
50〜59歳,490.2,0.9625
50〜59歳,638.4,0.8421
50〜59歳,426.4,0.7904
50〜59歳,665.5,0.9273
50〜59歳,741.6,1.0606
50〜59歳,928.3,1.0377
50〜59歳,633.9,0.9347
50〜59歳,268.7,1.202
50〜59歳,841.1,0.8976
50〜59歳,567.9,1.0027
50〜59歳,1647.8,0.7791
50〜59歳,1411.7,0.918
50〜59歳,1671.7,0.8985
50〜59歳,741.0,0.7582
50〜59歳,309.8,1.0055
50〜59歳,626.9,1.1929
50〜59歳,459.6,0.7864
50〜59歳,2203.2,0.9728
50〜59歳,650.2,0.8706
50〜59歳,759.6,1.0011
50〜59歳,949.1,0.9523
50〜59歳,728.8,0.873
50〜59歳,1720.2,1.0085
50〜59歳,1430.6,0.9421
50〜59歳,515.4,1.1665
50〜59歳,484.3,1.0364
50〜59歳,358.7,0.7948
50〜59歳,518.4,0.8352
50〜59歳,698.9,1.0067
50〜59歳,570.0,1.1281
50〜59歳,497.1,0.9927
50〜59歳,342.9,0.9124
50〜59歳,682.4,0.9499
50〜59歳,325.8,0.8
50〜59歳,1057.9,1.0225
50〜59歳,743.7,1.0559
50〜59歳,333.9,0.8957
50〜59歳,606.7,0.8936
50〜59歳,481.9,0.9819
50〜59歳,788.4,0.9271
50〜59歳,508.2,1.1313
50〜59歳,1048.1,1.0206
50〜59歳,896.6,0.9485
